Vardas              Pavarde             Galutinis(vid.)/    Galutinis(med.)
Vardas19842         Pavarde19842        1.2                 8
Vardas19843         Pavarde19843        4.2                 9
Vardas19844         Pavarde19844        4.2                 6
Vardas19845         Pavarde19845        6                   3
Vardas19846         Pavarde19846        5.4                 2
Vardas19847         Pavarde19847        3.6                 7
Vardas19848         Pavarde19848        1.8                 3
Vardas19849         Pavarde19849        1.2                 7
Vardas19850         Pavarde19850        6                   8
Vardas19851         Pavarde19851        1.2                 2
Vardas19852         Pavarde19852        0.6                 8
Vardas19853         Pavarde19853        6                   10
Vardas19854         Pavarde19854        1.8                 4
Vardas19855         Pavarde19855        5.4                 3
Vardas19856         Pavarde19856        1.8                 2
Vardas19857         Pavarde19857        1.2                 8
Vardas19858         Pavarde19858        2.4                 2
Vardas19859         Pavarde19859        6                   9
Vardas19860         Pavarde19860        4.2                 1
Vardas19861         Pavarde19861        6                   4
Vardas19862         Pavarde19862        3                   9
Vardas19863         Pavarde19863        1.8                 6
Vardas19864         Pavarde19864        4.2                 2
Vardas19865         Pavarde19865        2.4                 1
Vardas19866         Pavarde19866        4.2                 10
Vardas19867         Pavarde19867        2.4                 1
Vardas19868         Pavarde19868        4.8                 2
Vardas19869         Pavarde19869        3                   3
Vardas19870         Pavarde19870        1.8                 8
Vardas19871         Pavarde19871        5.4                 2
Vardas19872         Pavarde19872        5.4                 5
Vardas19873         Pavarde19873        0.6                 3
Vardas19874         Pavarde19874        4.2                 1
Vardas19875         Pavarde19875        4.8                 5
Vardas19876         Pavarde19876        4.2                 10
Vardas19877         Pavarde19877        1.2                 4
Vardas19878         Pavarde19878        1.8                 6
Vardas19879         Pavarde19879        3                   9
Vardas19880         Pavarde19880        4.8                 9
Vardas19881         Pavarde19881        0.6                 1
Vardas19882         Pavarde19882        0.6                 4
Vardas19883         Pavarde19883        2.4                 5
Vardas19884         Pavarde19884        4.2                 7
Vardas19885         Pavarde19885        0.6                 3
Vardas19886         Pavarde19886        5.4                 3
Vardas19887         Pavarde19887        3.6                 5
Vardas19888         Pavarde19888        5.4                 3
Vardas19889         Pavarde19889        2.4                 10
Vardas19890         Pavarde19890        0.6                 5
Vardas19891         Pavarde19891        0.6                 6
Vardas19892         Pavarde19892        5.4                 6
Vardas19893         Pavarde19893        4.8                 3
Vardas19894         Pavarde19894        2.4                 1
Vardas19895         Pavarde19895        2.4                 9
Vardas19896         Pavarde19896        4.2                 1
Vardas19897         Pavarde19897        2.4                 2
Vardas19898         Pavarde19898        4.2                 5
Vardas19899         Pavarde19899        5.4                 6
Vardas19900         Pavarde19900        1.8                 2
Vardas19901         Pavarde19901        2.4                 7
Vardas19902         Pavarde19902        4.2                 6
Vardas19903         Pavarde19903        3                   10
Vardas19904         Pavarde19904        3.6                 8
Vardas19905         Pavarde19905        4.8                 2
Vardas19906         Pavarde19906        2.4                 4
Vardas19907         Pavarde19907        0.6                 2
Vardas19908         Pavarde19908        4.8                 8
Vardas19909         Pavarde19909        2.4                 3
Vardas19910         Pavarde19910        3.6                 9
Vardas19911         Pavarde19911        1.2                 7
Vardas19912         Pavarde19912        4.8                 10
Vardas19913         Pavarde19913        5.4                 4
Vardas19914         Pavarde19914        1.8                 7
Vardas19915         Pavarde19915        4.2                 6
Vardas19916         Pavarde19916        2.4                 4
Vardas19917         Pavarde19917        4.8                 10
Vardas19918         Pavarde19918        4.8                 9
Vardas19919         Pavarde19919        4.2                 8
Vardas19920         Pavarde19920        4.8                 8
Vardas19921         Pavarde19921        4.2                 8
Vardas19922         Pavarde19922        4.8                 5
Vardas19923         Pavarde19923        3.6                 5
Vardas19924         Pavarde19924        3.6                 5
Vardas19925         Pavarde19925        1.8                 5
Vardas19926         Pavarde19926        1.2                 10
Vardas19927         Pavarde19927        1.8                 8
Vardas19928         Pavarde19928        4.8                 2
Vardas19929         Pavarde19929        1.2                 5
Vardas19930         Pavarde19930        0.6                 6
Vardas19931         Pavarde19931        4.2                 4
Vardas19932         Pavarde19932        4.2                 2
Vardas19933         Pavarde19933        4.8                 1
Vardas19934         Pavarde19934        6                   3
Vardas19935         Pavarde19935        2.4                 6
Vardas19936         Pavarde19936        4.8                 1
Vardas19937         Pavarde19937        4.8                 3
Vardas19938         Pavarde19938        1.8                 5
Vardas19939         Pavarde19939        1.8                 1
Vardas19940         Pavarde19940        5.4                 6
Vardas19941         Pavarde19941        1.2                 2
Vardas19942         Pavarde19942        3                   5
Vardas19943         Pavarde19943        3.6                 7
Vardas19944         Pavarde19944        1.2                 4
Vardas19945         Pavarde19945        4.8                 7
Vardas19946         Pavarde19946        6                   7
Vardas19947         Pavarde19947        1.8                 7
Vardas19948         Pavarde19948        5.4                 10
Vardas19949         Pavarde19949        0.6                 1
Vardas19950         Pavarde19950        2.4                 4
Vardas19951         Pavarde19951        1.2                 3
Vardas19952         Pavarde19952        5.4                 4
Vardas19953         Pavarde19953        5.4                 7
Vardas19954         Pavarde19954        1.8                 7
Vardas19955         Pavarde19955        3.6                 6
Vardas19956         Pavarde19956        1.2                 2
Vardas19957         Pavarde19957        1.2                 8
Vardas19958         Pavarde19958        2.4                 6
Vardas19959         Pavarde19959        4.2                 2
Vardas19960         Pavarde19960        3                   9
Vardas19961         Pavarde19961        2.4                 7
Vardas19962         Pavarde19962        0.6                 10
Vardas19963         Pavarde19963        1.2                 1
Vardas19964         Pavarde19964        3                   8
Vardas19965         Pavarde19965        1.2                 6
Vardas19966         Pavarde19966        3.6                 7
Vardas19967         Pavarde19967        2.4                 6
Vardas19968         Pavarde19968        3                   4
Vardas19969         Pavarde19969        1.8                 2
Vardas19970         Pavarde19970        6                   3
Vardas19971         Pavarde19971        6                   8
Vardas19972         Pavarde19972        2.4                 5
Vardas19973         Pavarde19973        1.2                 7
Vardas19974         Pavarde19974        3.6                 7
Vardas19975         Pavarde19975        5.4                 1
Vardas19976         Pavarde19976        5.4                 3
Vardas19977         Pavarde19977        2.4                 8
Vardas19978         Pavarde19978        4.8                 1
Vardas19979         Pavarde19979        1.8                 9
Vardas19980         Pavarde19980        4.2                 9
Vardas19981         Pavarde19981        0.6                 10
Vardas19982         Pavarde19982        6                   4
Vardas19983         Pavarde19983        1.8                 8
Vardas19984         Pavarde19984        1.8                 1
Vardas19985         Pavarde19985        5.4                 9
Vardas19986         Pavarde19986        2.4                 10
Vardas19987         Pavarde19987        0.6                 4
Vardas19988         Pavarde19988        4.2                 6
Vardas19989         Pavarde19989        4.8                 8
Vardas19990         Pavarde19990        3.6                 1
Vardas19991         Pavarde19991        4.8                 2
Vardas19992         Pavarde19992        4.8                 2
Vardas19993         Pavarde19993        4.8                 4
Vardas19994         Pavarde19994        2.4                 9
Vardas19995         Pavarde19995        3.6                 9
Vardas19996         Pavarde19996        3                   10
Vardas19997         Pavarde19997        1.8                 8
Vardas19998         Pavarde19998        1.8                 1
Vardas19999         Pavarde19999        2.4                 5
Vardas20000         Pavarde20000        3                   4
Vardas20001         Pavarde20001        6                   2
Vardas20002         Pavarde20002        1.2                 10
Vardas20003         Pavarde20003        3.6                 9
Vardas20004         Pavarde20004        3                   5
Vardas20005         Pavarde20005        2.4                 8
Vardas20006         Pavarde20006        3                   1
Vardas20007         Pavarde20007        1.8                 6
Vardas20008         Pavarde20008        3                   9
Vardas20009         Pavarde20009        4.2                 5
Vardas20010         Pavarde20010        4.2                 9
Vardas20011         Pavarde20011        1.8                 2
Vardas20012         Pavarde20012        4.2                 1
Vardas20013         Pavarde20013        4.8                 1
Vardas20014         Pavarde20014        2.4                 2
Vardas20015         Pavarde20015        6                   8
Vardas20016         Pavarde20016        5.4                 7
Vardas20017         Pavarde20017        0.6                 8
Vardas20018         Pavarde20018        3                   8
Vardas20019         Pavarde20019        3                   2
Vardas20020         Pavarde20020        1.2                 10
Vardas20021         Pavarde20021        6                   4
Vardas20022         Pavarde20022        1.8                 1
Vardas20023         Pavarde20023        4.2                 6
Vardas20024         Pavarde20024        3.6                 4
Vardas20025         Pavarde20025        4.8                 1
Vardas20026         Pavarde20026        2.4                 5
Vardas20027         Pavarde20027        0.6                 3
Vardas20028         Pavarde20028        5.4                 10
Vardas20029         Pavarde20029        3.6                 4
Vardas20030         Pavarde20030        0.6                 10
Vardas20031         Pavarde20031        3.6                 5
Vardas20032         Pavarde20032        6                   7
Vardas20033         Pavarde20033        1.8                 10
Vardas20034         Pavarde20034        4.8                 2
Vardas20035         Pavarde20035        3                   1
Vardas20036         Pavarde20036        4.2                 3
Vardas20037         Pavarde20037        1.2                 4
Vardas20038         Pavarde20038        4.2                 3
Vardas20039         Pavarde20039        1.8                 6
Vardas20040         Pavarde20040        3                   5
Vardas20041         Pavarde20041        5.4                 5
Vardas20042         Pavarde20042        4.8                 8
Vardas20043         Pavarde20043        4.2                 3
Vardas20044         Pavarde20044        6                   8
Vardas20045         Pavarde20045        3                   6
Vardas20046         Pavarde20046        2.4                 2
Vardas20047         Pavarde20047        3.6                 2
Vardas20048         Pavarde20048        1.8                 6
Vardas20049         Pavarde20049        4.2                 2
Vardas20050         Pavarde20050        3                   6
Vardas20051         Pavarde20051        1.8                 4
Vardas20052         Pavarde20052        5.4                 5
Vardas20053         Pavarde20053        4.2                 2
Vardas20054         Pavarde20054        3                   4
Vardas20055         Pavarde20055        6                   7
Vardas20056         Pavarde20056        1.8                 7
Vardas20057         Pavarde20057        4.8                 9
Vardas20058         Pavarde20058        2.4                 9
Vardas20059         Pavarde20059        0.6                 8
Vardas20060         Pavarde20060        5.4                 8
Vardas20061         Pavarde20061        3.6                 4
Vardas20062         Pavarde20062        2.4                 6
Vardas20063         Pavarde20063        4.8                 5
Vardas20064         Pavarde20064        2.4                 9
Vardas20065         Pavarde20065        5.4                 2
Vardas20066         Pavarde20066        4.2                 6
Vardas20067         Pavarde20067        3.6                 5
Vardas20068         Pavarde20068        1.8                 3
Vardas20069         Pavarde20069        0.6                 2
Vardas20070         Pavarde20070        1.2                 2
Vardas20071         Pavarde20071        3                   1
Vardas20072         Pavarde20072        1.8                 5
Vardas20073         Pavarde20073        2.4                 4
Vardas20074         Pavarde20074        1.2                 5
Vardas20075         Pavarde20075        1.8                 6
Vardas20076         Pavarde20076        2.4                 9
Vardas20077         Pavarde20077        1.8                 8
Vardas20078         Pavarde20078        3.6                 8
Vardas20079         Pavarde20079        1.8                 10
Vardas20080         Pavarde20080        3                   8
Vardas20081         Pavarde20081        1.8                 8
Vardas20082         Pavarde20082        2.4                 6
Vardas20083         Pavarde20083        2.4                 4
Vardas20084         Pavarde20084        4.8                 6
Vardas20085         Pavarde20085        1.8                 5
Vardas20086         Pavarde20086        1.8                 2
Vardas20087         Pavarde20087        6                   10
Vardas20088         Pavarde20088        1.8                 7
Vardas20089         Pavarde20089        2.4                 4
Vardas20090         Pavarde20090        4.8                 5
Vardas20091         Pavarde20091        6                   8
Vardas20092         Pavarde20092        3.6                 1
Vardas20093         Pavarde20093        4.2                 5
Vardas20094         Pavarde20094        1.8                 9
Vardas20095         Pavarde20095        4.2                 2
Vardas20096         Pavarde20096        2.4                 4
Vardas20097         Pavarde20097        5.4                 8
Vardas20098         Pavarde20098        4.2                 8
Vardas20099         Pavarde20099        3                   2
Vardas20100         Pavarde20100        6                   4
Vardas20101         Pavarde20101        5.4                 2
Vardas20102         Pavarde20102        0.6                 6
Vardas20103         Pavarde20103        5.4                 2
Vardas20104         Pavarde20104        3.6                 2
Vardas20105         Pavarde20105        2.4                 5
Vardas20106         Pavarde20106        1.2                 8
Vardas20107         Pavarde20107        1.2                 8
Vardas20108         Pavarde20108        4.2                 10
Vardas20109         Pavarde20109        3                   3
Vardas20110         Pavarde20110        3                   2
Vardas20111         Pavarde20111        4.8                 9
Vardas20112         Pavarde20112        5.4                 1
Vardas20113         Pavarde20113        6                   10
Vardas20114         Pavarde20114        1.2                 3
Vardas20115         Pavarde20115        2.4                 9
Vardas20116         Pavarde20116        2.4                 10
Vardas20117         Pavarde20117        2.4                 3
Vardas20118         Pavarde20118        1.8                 1
Vardas20119         Pavarde20119        4.8                 3
Vardas20120         Pavarde20120        2.4                 8
Vardas20121         Pavarde20121        1.2                 2
Vardas20122         Pavarde20122        2.4                 3
Vardas20123         Pavarde20123        1.8                 8
Vardas20124         Pavarde20124        3.6                 6
Vardas20125         Pavarde20125        6                   10
Vardas20126         Pavarde20126        2.4                 1
Vardas20127         Pavarde20127        5.4                 2
Vardas20128         Pavarde20128        6                   5
Vardas20129         Pavarde20129        6                   2
Vardas20130         Pavarde20130        1.8                 1
Vardas20131         Pavarde20131        0.6                 10
Vardas20132         Pavarde20132        5.4                 9
Vardas20133         Pavarde20133        4.8                 9
Vardas20134         Pavarde20134        6                   4
Vardas20135         Pavarde20135        1.8                 6
Vardas20136         Pavarde20136        1.8                 9
Vardas20137         Pavarde20137        5.4                 3
Vardas20138         Pavarde20138        0.6                 8
Vardas20139         Pavarde20139        2.4                 3
Vardas20140         Pavarde20140        6                   6
Vardas20141         Pavarde20141        6                   7
Vardas20142         Pavarde20142        3.6                 3
Vardas20143         Pavarde20143        6                   6
Vardas20144         Pavarde20144        3                   3
Vardas20145         Pavarde20145        2.4                 2
Vardas20146         Pavarde20146        4.8                 9
Vardas20147         Pavarde20147        3.6                 10
Vardas20148         Pavarde20148        1.8                 1
Vardas20149         Pavarde20149        1.8                 1
Vardas20150         Pavarde20150        1.8                 2
Vardas20151         Pavarde20151        3.6                 7
Vardas20152         Pavarde20152        5.4                 4
Vardas20153         Pavarde20153        1.2                 9
Vardas20154         Pavarde20154        3                   7
Vardas20155         Pavarde20155        3.6                 10
Vardas20156         Pavarde20156        5.4                 4
Vardas20157         Pavarde20157        4.2                 4
Vardas20158         Pavarde20158        1.8                 10
Vardas20159         Pavarde20159        5.4                 10
Vardas20160         Pavarde20160        3.6                 5
Vardas20161         Pavarde20161        4.8                 2
Vardas20162         Pavarde20162        1.2                 8
Vardas20163         Pavarde20163        5.4                 7
Vardas20164         Pavarde20164        5.4                 5
Vardas20165         Pavarde20165        4.8                 4
Vardas20166         Pavarde20166        1.8                 7
Vardas20167         Pavarde20167        5.4                 9
Vardas20168         Pavarde20168        5.4                 8
Vardas20169         Pavarde20169        3.6                 9
Vardas20170         Pavarde20170        5.4                 6
Vardas20171         Pavarde20171        3                   10
Vardas20172         Pavarde20172        1.8                 2
Vardas20173         Pavarde20173        4.2                 7
Vardas20174         Pavarde20174        6                   3
Vardas20175         Pavarde20175        3.6                 2
Vardas20176         Pavarde20176        1.8                 4
Vardas20177         Pavarde20177        0.6                 2
Vardas20178         Pavarde20178        2.4                 8
Vardas20179         Pavarde20179        1.2                 6
Vardas20180         Pavarde20180        4.8                 9
Vardas20181         Pavarde20181        1.2                 8
Vardas20182         Pavarde20182        4.8                 4
Vardas20183         Pavarde20183        5.4                 1
Vardas20184         Pavarde20184        0.6                 2
Vardas20185         Pavarde20185        3.6                 10
Vardas20186         Pavarde20186        6                   4
Vardas20187         Pavarde20187        4.2                 8
Vardas20188         Pavarde20188        4.8                 3
Vardas20189         Pavarde20189        1.2                 6
Vardas20190         Pavarde20190        4.8                 1
Vardas20191         Pavarde20191        0.6                 6
Vardas20192         Pavarde20192        1.8                 10
Vardas20193         Pavarde20193        1.8                 5
Vardas20194         Pavarde20194        3                   8
Vardas20195         Pavarde20195        3                   1
Vardas20196         Pavarde20196        4.8                 3
Vardas20197         Pavarde20197        3                   10
Vardas20198         Pavarde20198        1.2                 8
Vardas20199         Pavarde20199        0.6                 2
Vardas20200         Pavarde20200        0.6                 10
Vardas20201         Pavarde20201        4.8                 3
Vardas20202         Pavarde20202        0.6                 2
Vardas20203         Pavarde20203        6                   4
Vardas20204         Pavarde20204        1.8                 7
Vardas20205         Pavarde20205        3                   4
Vardas20206         Pavarde20206        1.2                 6
Vardas20207         Pavarde20207        2.4                 6
Vardas20208         Pavarde20208        2.4                 3
Vardas20209         Pavarde20209        4.8                 4
Vardas20210         Pavarde20210        4.8                 5
Vardas20211         Pavarde20211        6                   6
Vardas20212         Pavarde20212        3.6                 3
Vardas20213         Pavarde20213        4.8                 4
Vardas20214         Pavarde20214        3.6                 5
Vardas20215         Pavarde20215        3                   10
Vardas20216         Pavarde20216        1.2                 1
Vardas20217         Pavarde20217        3.6                 8
Vardas20218         Pavarde20218        4.2                 10
Vardas20219         Pavarde20219        1.2                 7
Vardas20220         Pavarde20220        5.4                 8
Vardas20221         Pavarde20221        4.2                 1
Vardas20222         Pavarde20222        4.2                 9
Vardas20223         Pavarde20223        2.4                 9
Vardas20224         Pavarde20224        0.6                 9
Vardas20225         Pavarde20225        1.8                 8
Vardas20226         Pavarde20226        1.2                 4
Vardas20227         Pavarde20227        3                   2
Vardas20228         Pavarde20228        3.6                 6
Vardas20229         Pavarde20229        1.8                 8
Vardas20230         Pavarde20230        1.8                 5
Vardas20231         Pavarde20231        3                   4
Vardas20232         Pavarde20232        5.4                 7
Vardas20233         Pavarde20233        6                   5
Vardas20234         Pavarde20234        0.6                 5
Vardas20235         Pavarde20235        5.4                 3
Vardas20236         Pavarde20236        1.8                 10
Vardas20237         Pavarde20237        3.6                 1
Vardas20238         Pavarde20238        3                   9
Vardas20239         Pavarde20239        1.2                 9
Vardas20240         Pavarde20240        3                   2
Vardas20241         Pavarde20241        1.2                 3
Vardas20242         Pavarde20242        0.6                 10
Vardas20243         Pavarde20243        1.2                 10
Vardas20244         Pavarde20244        1.2                 3
Vardas20245         Pavarde20245        1.2                 10
Vardas20246         Pavarde20246        1.8                 7
Vardas20247         Pavarde20247        5.4                 9
Vardas20248         Pavarde20248        1.8                 4
Vardas20249         Pavarde20249        3.6                 4
Vardas20250         Pavarde20250        3                   4
Vardas20251         Pavarde20251        3                   7
Vardas20252         Pavarde20252        0.6                 8
Vardas20253         Pavarde20253        3.6                 3
Vardas20254         Pavarde20254        1.8                 2
Vardas20255         Pavarde20255        2.4                 6
Vardas20256         Pavarde20256        3.6                 1
Vardas20257         Pavarde20257        1.8                 10
Vardas20258         Pavarde20258        5.4                 3
Vardas20259         Pavarde20259        3.6                 1
Vardas20260         Pavarde20260        4.8                 1
Vardas20261         Pavarde20261        1.8                 1
Vardas20262         Pavarde20262        4.2                 7
Vardas20263         Pavarde20263        3                   1
Vardas20264         Pavarde20264        3                   9
Vardas20265         Pavarde20265        4.8                 10
Vardas20266         Pavarde20266        0.6                 2
Vardas20267         Pavarde20267        0.6                 10
Vardas20268         Pavarde20268        4.8                 8
Vardas20269         Pavarde20269        1.8                 9
Vardas20270         Pavarde20270        4.8                 7
Vardas20271         Pavarde20271        6                   2
Vardas20272         Pavarde20272        6                   4
Vardas20273         Pavarde20273        4.8                 3
Vardas20274         Pavarde20274        4.2                 2
Vardas20275         Pavarde20275        2.4                 4
Vardas20276         Pavarde20276        1.2                 3
Vardas20277         Pavarde20277        3.6                 8
Vardas20278         Pavarde20278        3.6                 4
Vardas20279         Pavarde20279        3                   7
Vardas20280         Pavarde20280        1.2                 3
Vardas20281         Pavarde20281        5.4                 7
Vardas20282         Pavarde20282        3.6                 5
Vardas20283         Pavarde20283        3                   7
Vardas20284         Pavarde20284        3.6                 4
Vardas20285         Pavarde20285        4.8                 2
Vardas20286         Pavarde20286        3.6                 1
Vardas20287         Pavarde20287        1.8                 5
Vardas20288         Pavarde20288        2.4                 10
Vardas20289         Pavarde20289        1.2                 7
Vardas20290         Pavarde20290        6                   8
Vardas20291         Pavarde20291        1.8                 4
Vardas20292         Pavarde20292        3                   7
Vardas20293         Pavarde20293        5.4                 10
Vardas20294         Pavarde20294        5.4                 2
Vardas20295         Pavarde20295        6                   4
Vardas20296         Pavarde20296        3.6                 7
Vardas20297         Pavarde20297        0.6                 6
Vardas20298         Pavarde20298        6                   1
Vardas20299         Pavarde20299        4.8                 9
Vardas20300         Pavarde20300        5.4                 2
Vardas20301         Pavarde20301        6                   8
Vardas20302         Pavarde20302        2.4                 3
Vardas20303         Pavarde20303        3.6                 1
Vardas20304         Pavarde20304        1.2                 6
Vardas20305         Pavarde20305        2.4                 4
Vardas20306         Pavarde20306        0.6                 9
Vardas20307         Pavarde20307        1.2                 5
Vardas20308         Pavarde20308        2.4                 7
Vardas20309         Pavarde20309        4.8                 10
Vardas20310         Pavarde20310        1.8                 7
Vardas20311         Pavarde20311        5.4                 8
Vardas20312         Pavarde20312        0.6                 6
Vardas20313         Pavarde20313        5.4                 3
Vardas20314         Pavarde20314        2.4                 9
Vardas20315         Pavarde20315        4.8                 4
Vardas20316         Pavarde20316        1.8                 8
Vardas20317         Pavarde20317        3.6                 2
Vardas20318         Pavarde20318        5.4                 4
Vardas20319         Pavarde20319        4.2                 7
Vardas20320         Pavarde20320        3                   5
Vardas20321         Pavarde20321        2.4                 5
Vardas20322         Pavarde20322        3                   8
Vardas20323         Pavarde20323        1.8                 6
Vardas20324         Pavarde20324        2.4                 5
Vardas20325         Pavarde20325        1.2                 6
Vardas20326         Pavarde20326        2.4                 1
Vardas20327         Pavarde20327        1.2                 1
Vardas20328         Pavarde20328        4.2                 2
Vardas20329         Pavarde20329        5.4                 1
Vardas20330         Pavarde20330        2.4                 9
Vardas20331         Pavarde20331        3.6                 4
Vardas20332         Pavarde20332        2.4                 7
Vardas20333         Pavarde20333        2.4                 2
Vardas20334         Pavarde20334        0.6                 3
Vardas20335         Pavarde20335        4.2                 3
Vardas20336         Pavarde20336        0.6                 4
Vardas20337         Pavarde20337        6                   4
Vardas20338         Pavarde20338        3                   7
Vardas20339         Pavarde20339        3                   5
Vardas20340         Pavarde20340        4.8                 4
Vardas20341         Pavarde20341        5.4                 1
Vardas20342         Pavarde20342        4.8                 5
Vardas20343         Pavarde20343        2.4                 2
Vardas20344         Pavarde20344        5.4                 8
Vardas20345         Pavarde20345        1.2                 9
Vardas20346         Pavarde20346        1.8                 1
Vardas20347         Pavarde20347        1.2                 8
Vardas20348         Pavarde20348        1.2                 8
Vardas20349         Pavarde20349        4.8                 1
Vardas20350         Pavarde20350        3.6                 6
Vardas20351         Pavarde20351        1.8                 5
Vardas20352         Pavarde20352        0.6                 3
Vardas20353         Pavarde20353        0.6                 7
Vardas20354         Pavarde20354        0.6                 5
Vardas20355         Pavarde20355        0.6                 1
Vardas20356         Pavarde20356        1.2                 9
Vardas20357         Pavarde20357        2.4                 2
Vardas20358         Pavarde20358        2.4                 3
Vardas20359         Pavarde20359        0.6                 4
Vardas20360         Pavarde20360        1.2                 5
Vardas20361         Pavarde20361        1.8                 7
Vardas20362         Pavarde20362        0.6                 8
Vardas20363         Pavarde20363        1.2                 9
Vardas20364         Pavarde20364        1.2                 7
Vardas20365         Pavarde20365        2.4                 9
Vardas20366         Pavarde20366        6                   9
Vardas20367         Pavarde20367        3                   9
Vardas20368         Pavarde20368        0.6                 9
Vardas20369         Pavarde20369        4.2                 10
Vardas20370         Pavarde20370        3                   7
Vardas20371         Pavarde20371        6                   10
Vardas20372         Pavarde20372        1.8                 4
Vardas20373         Pavarde20373        2.4                 8
Vardas20374         Pavarde20374        5.4                 4
Vardas20375         Pavarde20375        2.4                 1
Vardas20376         Pavarde20376        3.6                 6
Vardas20377         Pavarde20377        1.2                 7
Vardas20378         Pavarde20378        3.6                 3
Vardas20379         Pavarde20379        5.4                 2
Vardas20380         Pavarde20380        0.6                 7
Vardas20381         Pavarde20381        4.2                 6
Vardas20382         Pavarde20382        1.8                 7
Vardas20383         Pavarde20383        0.6                 1
Vardas20384         Pavarde20384        2.4                 5
Vardas20385         Pavarde20385        3.6                 9
Vardas20386         Pavarde20386        4.8                 2
Vardas20387         Pavarde20387        4.8                 4
Vardas20388         Pavarde20388        5.4                 8
Vardas20389         Pavarde20389        0.6                 2
Vardas20390         Pavarde20390        0.6                 6
Vardas20391         Pavarde20391        1.2                 5
Vardas20392         Pavarde20392        3                   7
Vardas20393         Pavarde20393        4.2                 2
Vardas20394         Pavarde20394        4.2                 10
Vardas20395         Pavarde20395        1.8                 10
Vardas20396         Pavarde20396        1.2                 7
Vardas20397         Pavarde20397        1.2                 5
Vardas20398         Pavarde20398        1.8                 2
Vardas20399         Pavarde20399        4.2                 5
Vardas20400         Pavarde20400        3                   7
Vardas20401         Pavarde20401        3                   7
Vardas20402         Pavarde20402        5.4                 6
Vardas20403         Pavarde20403        2.4                 2
Vardas20404         Pavarde20404        0.6                 5
Vardas20405         Pavarde20405        2.4                 4
Vardas20406         Pavarde20406        1.2                 8
Vardas20407         Pavarde20407        2.4                 6
Vardas20408         Pavarde20408        0.6                 3
Vardas20409         Pavarde20409        2.4                 6
Vardas20410         Pavarde20410        1.8                 7
Vardas20411         Pavarde20411        3.6                 8
Vardas20412         Pavarde20412        3.6                 1
Vardas20413         Pavarde20413        3.6                 3
Vardas20414         Pavarde20414        3                   7
Vardas20415         Pavarde20415        6                   8
Vardas20416         Pavarde20416        4.8                 3
Vardas20417         Pavarde20417        6                   8
Vardas20418         Pavarde20418        1.8                 10
Vardas20419         Pavarde20419        6                   3
Vardas20420         Pavarde20420        1.8                 3
Vardas20421         Pavarde20421        4.2                 10
Vardas20422         Pavarde20422        0.6                 6
Vardas20423         Pavarde20423        0.6                 6
Vardas20424         Pavarde20424        4.2                 10
Vardas20425         Pavarde20425        3.6                 1
Vardas20426         Pavarde20426        1.8                 2
Vardas20427         Pavarde20427        1.8                 8
Vardas20428         Pavarde20428        6                   7
Vardas20429         Pavarde20429        6                   5
Vardas20430         Pavarde20430        2.4                 10
Vardas20431         Pavarde20431        3.6                 7
Vardas20432         Pavarde20432        4.8                 10
Vardas20433         Pavarde20433        1.2                 3
Vardas20434         Pavarde20434        5.4                 9
Vardas20435         Pavarde20435        4.2                 2
Vardas20436         Pavarde20436        2.4                 10
Vardas20437         Pavarde20437        1.2                 9
Vardas20438         Pavarde20438        0.6                 7
Vardas20439         Pavarde20439        6                   5
Vardas20440         Pavarde20440        4.2                 5
Vardas20441         Pavarde20441        1.2                 6
Vardas20442         Pavarde20442        0.6                 2
Vardas20443         Pavarde20443        4.2                 6
Vardas20444         Pavarde20444        5.4                 1
Vardas20445         Pavarde20445        2.4                 4
Vardas20446         Pavarde20446        4.2                 2
Vardas20447         Pavarde20447        4.2                 6
Vardas20448         Pavarde20448        4.2                 7
Vardas20449         Pavarde20449        6                   3
Vardas20450         Pavarde20450        3.6                 1
Vardas20451         Pavarde20451        4.8                 6
Vardas20452         Pavarde20452        1.8                 6
Vardas20453         Pavarde20453        4.8                 5
Vardas20454         Pavarde20454        1.8                 4
Vardas20455         Pavarde20455        5.4                 4
Vardas20456         Pavarde20456        4.2                 8
Vardas20457         Pavarde20457        3.6                 7
Vardas20458         Pavarde20458        2.4                 7
Vardas20459         Pavarde20459        4.2                 9
Vardas20460         Pavarde20460        5.4                 2
Vardas20461         Pavarde20461        2.4                 8
Vardas20462         Pavarde20462        4.8                 6
Vardas20463         Pavarde20463        5.4                 3
Vardas20464         Pavarde20464        3.6                 8
Vardas20465         Pavarde20465        6                   7
Vardas20466         Pavarde20466        4.2                 9
Vardas20467         Pavarde20467        4.2                 6
Vardas20468         Pavarde20468        3                   9
Vardas20469         Pavarde20469        1.8                 8
Vardas20470         Pavarde20470        1.8                 4
Vardas20471         Pavarde20471        6                   10
Vardas20472         Pavarde20472        1.2                 2
Vardas20473         Pavarde20473        5.4                 4
Vardas20474         Pavarde20474        6                   1
Vardas20475         Pavarde20475        3                   7
Vardas20476         Pavarde20476        0.6                 10
Vardas20477         Pavarde20477        0.6                 5
Vardas20478         Pavarde20478        1.2                 8
Vardas20479         Pavarde20479        1.8                 2
Vardas20480         Pavarde20480        6                   5
Vardas20481         Pavarde20481        3.6                 6
Vardas20482         Pavarde20482        4.8                 1
Vardas20483         Pavarde20483        3.6                 5
Vardas20484         Pavarde20484        4.8                 7
Vardas20485         Pavarde20485        2.4                 5
